Time,Flow_ID,Status,Attack,Confidence (%)
2026-07-30 17:03:57.860415,10,NORMAL,BENIGN,80.0
2026-07-30 17:03:57.860415,11,NORMAL,BENIGN,91.0
2026-07-30 17:03:57.860415,12,NORMAL,BENIGN,89.0
2026-07-30 17:03:57.860415,13,NORMAL,BENIGN,89.0
2026-07-30 17:03:57.860415,14,NORMAL,BENIGN,89.0
2026-07-30 17:03:57.860415,15,NORMAL,BENIGN,89.0
2026-07-30 17:04:37.733333,1,NORMAL,BENIGN,88.0
2026-07-30 17:04:37.733333,2,NORMAL,BENIGN,85.0
2026-07-30 17:04:37.734773,3,NORMAL,BENIGN,82.0
2026-07-30 17:04:37.734773,4,NORMAL,BENIGN,81.0
2026-07-30 17:04:37.734773,5,NORMAL,BENIGN,90.0
2026-07-30 17:04:37.734773,6,NORMAL,BENIGN,91.0
2026-07-30 17:04:52.111059,1,NORMAL,BENIGN,88.0
2026-07-30 17:04:52.111059,2,NORMAL,BENIGN,91.0
2026-07-30 17:04:52.111059,3,NORMAL,BENIGN,80.0
2026-07-30 17:04:52.111059,4,NORMAL,BENIGN,81.0
2026-07-30 17:04:52.111059,5,NORMAL,BENIGN,81.0
2026-07-30 17:04:52.111059,6,NORMAL,BENIGN,91.0
2026-07-30 17:04:52.111059,7,NORMAL,BENIGN,93.0
2026-08-04 16:11:52.144146,1,NORMAL,BENIGN,87.0
2026-08-04 16:11:52.144146,2,NORMAL,BENIGN,89.0
2026-08-04 16:11:52.144146,3,NORMAL,BENIGN,82.0
2026-08-04 16:11:52.144146,4,NORMAL,BENIGN,88.0
2026-08-04 16:11:52.144146,5,NORMAL,BENIGN,75.0
2026-08-04 16:11:52.144146,6,NORMAL,BENIGN,91.0
2026-08-04 16:11:52.144146,7,NORMAL,BENIGN,88.0
2026-08-04 16:11:52.144146,8,NORMAL,BENIGN,75.0
2026-08-04 16:11:52.144146,9,NORMAL,BENIGN,87.0
2026-08-11 00:02:36.732378,1,NORMAL,BENIGN,80.0
2026-08-11 00:02:36.732378,2,NORMAL,BENIGN,89.0
2026-08-11 00:02:36.732378,3,NORMAL,BENIGN,89.0
2026-08-11 00:02:36.732378,4,NORMAL,BENIGN,88.0
2026-08-11 11:20:53.349216,1,NORMAL,BENIGN,91.0
2026-08-11 11:20:53.349216,2,NORMAL,BENIGN,91.0
2026-08-11 11:20:53.349216,3,NORMAL,BENIGN,94.0
2026-08-11 11:20:53.349216,4,NORMAL,BENIGN,91.0
2026-08-11 11:20:53.349216,5,NORMAL,BENIGN,91.0
2026-08-11 11:20:53.349216,6,NORMAL,BENIGN,91.0
2026-08-11 11:20:53.349216,7,NORMAL,BENIGN,91.0
2026-08-11 11:20:53.349216,8,NORMAL,BENIGN,91.0
2026-08-11 11:20:53.349216,9,NORMAL,BENIGN,91.0
2026-08-11 11:20:53.349216,10,NORMAL,BENIGN,91.0
2026-08-11 11:20:53.349216,11,NORMAL,BENIGN,88.0
2026-08-11 11:20:53.349216,12,NORMAL,BENIGN,91.0
2026-08-11 11:20:53.349216,13,NORMAL,BENIGN,88.0
2026-08-11 11:20:53.349216,14,NORMAL,BENIGN,87.0
2026-08-11 11:20:53.349216,15,NORMAL,BENIGN,91.0
2026-08-11 11:20:53.349216,16,NORMAL,BENIGN,91.0
2026-08-11 11:20:53.349216,17,NORMAL,BENIGN,88.0
2026-08-11 11:20:53.349216,18,NORMAL,BENIGN,91.0
2026-08-11 11:20:53.349216,19,NORMAL,BENIGN,91.0
